Name                      Type      File
GOFSH-GENERATED-ID-0      Instance  instances.fsh
GOFSH-GENERATED-ID-1      Instance  instances.fsh
MyObservation             Profile   profiles.fsh
Performing_Laboratory     Profile   profiles.fsh
Testing_Specimen          Profile   profiles.fsh
ValueSetWithNoCodeSystem  ValueSet  valueSets.fsh
example-of-$mypatient     Instance  instances.fsh
example-of-Binary         Instance  instances.fsh
example-of-Library        Instance  instances.fsh
h1                        Instance  instances.fsh
h1-1                      Instance  instances.fsh
